"year_month","description","total_quantity","total_sales","rank"
"2011-05",WORLD WAR 2 GLIDERS ASSTD DESIGNS,4949,1252.59,2
"2011-05",ASSORTED COLOURS SILK FAN,4684,3708.92,3
"2011-05",PACK OF 60 PINK PAISLEY CAKE CASES,4055,1856.42,4
"2011-05",WHITE HANGING HEART T-LIGHT HOLDER,4036,11415.32,5
"2011-06",?,4000,0.00,1
"2011-06",JUMBO BAG RED RETROSPOT,3682,7247.98,2
"2011-06",ASSORTED COLOURS SILK FAN,3346,2706.58,3
"2011-06",BROCADE RING PURSE ,2990,752.58,4
"2011-06",PACK OF 12 LONDON TISSUES ,2429,666.61,5
"2011-07",GIRLS ALPHABET IRON ON PATCHES ,5019,907.02,1
"2011-07",WORLD WAR 2 GLIDERS ASSTD DESIGNS,3762,1049.94,2
"2011-07",ASSORTED COLOURS SILK FAN,3486,2690.98,3
"2011-07",ESSENTIAL BALM 3.5g TIN IN ENVELOPE,3207,195.18,4
"2011-07",JUMBO BAG RED RETROSPOT,3129,6253.87,5
"2011-08",ASSORTED COLOUR BIRD ORNAMENT,6553,9882.25,1
"2011-08",JUMBO BAG RED RETROSPOT,5502,10796.56,2
"2011-08",POPCORN HOLDER,5321,4061.35,3
"2011-08",JUMBO BAG APPLES,3219,6233.72,4
"2011-08",PACK OF 72 RETROSPOT CAKE CASES,3014,1598.99,5
"2011-09",JUMBO BAG RED RETROSPOT,4401,8884.33,1
"2011-09",POPCORN HOLDER,4048,3494.33,2
"2011-09","60 CAKE CASES VINTAGE CHRISTMAS",3711,1866.99,3
"2011-09",WORLD WAR 2 GLIDERS ASSTD DESIGNS,3515,1002.77,4
"2011-09",PACK OF 72 RETROSPOT CAKE CASES,3426,1849.64,5
"2011-10",WORLD WAR 2 GLIDERS ASSTD DESIGNS,8180,1957.76,1
"2011-10",RABBIT NIGHT LIGHT,6323,12256.87,2
"2011-10",POPCORN HOLDER,5907,4813.95,3
"2011-10",JUMBO BAG RED RETROSPOT,5412,10485.81,4
"2011-10",PINK BLUE FELT CRAFT TRINKET BOX,4874,5281.38,5
"2011-11",RABBIT NIGHT LIGHT,14954,34556.72,1
"2011-11",ASSTD DESIGN 3D PAPER STICKERS,12551,9.35,2
"2011-11",POPCORN HOLDER,12460,14195.60,3
"2011-11",PAPER CHAIN KIT 50'S CHRISTMAS ,7908,28985.04,4
"2011-11",JUMBO BAG RED RETROSPOT,5909,11641.37,5
"2011-12","PAPER CRAFT , LITTLE BIRDIE",80995,168469.60,1
"2011-12",POPCORN HOLDER,6217,5423.80,2
"2011-12",RABBIT NIGHT LIGHT,4311,9643.02,3
"2011-12",VINTAGE DOILY JUMBO BAG RED ,2101,3852.28,4
"2011-12",PAPER CHAIN KIT 50'S CHRISTMAS ,2089,6870.71,5
