"year_month","description","total_sales","total_quantity","rank"
"2011-06",REGENCY CAKESTAND 3 TIER,9745.39,784,3
"2011-06",REGENCY TEAPOT ROSES ,7399.84,858,4
"2011-06",JUMBO BAG RED RETROSPOT,7247.98,3682,5
"2011-07",PARTY BUNTING,14576.50,2758,1
"2011-07",REGENCY CAKESTAND 3 TIER,13987.11,1151,2
"2011-07",WHITE HANGING HEART T-LIGHT HOLDER,8630.08,3028,3
"2011-07",SPOTTY BUNTING,7182.05,1645,4
"2011-07",JUMBO BAG RED RETROSPOT,6253.87,3129,5
"2011-08",JUMBO BAG RED RETROSPOT,10796.56,5502,1
"2011-08",REGENCY CAKESTAND 3 TIER,10534.05,843,2
"2011-08",ASSORTED COLOUR BIRD ORNAMENT,9882.25,6553,3
"2011-08",PARTY BUNTING,9694.85,1695,4
"2011-08",SPOTTY BUNTING,7869.38,1506,5
"2011-09",SET OF TEA COFFEE SUGAR TINS PANTRY,9981.41,2071,1
"2011-09",REGENCY CAKESTAND 3 TIER,9619.53,774,2
"2011-09",JUMBO BAG RED RETROSPOT,8884.33,4401,3
"2011-09",WHITE HANGING HEART T-LIGHT HOLDER,7123.21,2503,4
"2011-09",PARTY BUNTING,6402.95,1137,5
"2011-10",REGENCY CAKESTAND 3 TIER,13281.24,1083,1
"2011-10",RABBIT NIGHT LIGHT,12256.87,6323,2
"2011-10",DOORMAT KEEP CALM AND COME IN,11598.75,1540,3
"2011-10",JUMBO BAG RED RETROSPOT,10485.81,5412,4
"2011-10",PAPER CHAIN KIT 50'S CHRISTMAS ,10031.39,3429,5
"2011-11",RABBIT NIGHT LIGHT,34556.72,14954,1
"2011-11",PAPER CHAIN KIT 50'S CHRISTMAS ,28985.04,7908,2
"2011-11",WHITE HANGING HEART T-LIGHT HOLDER,14362.12,4944,3
"2011-11",POPCORN HOLDER,14195.60,12460,4
"2011-11",REGENCY CAKESTAND 3 TIER,13799.58,1054,5
"2011-12","PAPER CRAFT , LITTLE BIRDIE",168469.60,80995,1
"2011-12",RABBIT NIGHT LIGHT,9643.02,4311,2
"2011-12",PAPER CHAIN KIT 50'S CHRISTMAS ,6870.71,2089,3
"2011-12",REGENCY CAKESTAND 3 TIER,6006.87,450,4
"2011-12",BLACK RECORD COVER FRAME,5582.43,1574,5
